title,url,date,summary,datetime
"തുർക്കി യുദ്ധക്കപ്പൽ കറാച്ചി തുറമുഖത്ത്, ബുധനാഴ്ച വരെ തുടരും; പാക്ക് നാവികസേന ഉദ്യോഗസ്ഥരുമായി കൂടിക്കാഴ്ച",https://www.manoramaonline.com/news/latest-news/2025/05/05/turkey-pakistan-naval-cooperation-warship-karachi-visit.html,2025-05-05,കറാച്ചി∙ ഇന്ത്യ-പാക്കിസ്ഥാൻ സംഘർഷങ്ങൾക്കിടെ തുർക്കി നാവികസേനയുടെ ഒരു യുദ്ധക്കപ്പൽ ഞായറാഴ്ച കറാച്ചി തുറമുഖത്ത് എത്തി. തുർക്കി നാവികസേനയുടെ അഡ-ക്ലാസ് എഎസ്ഡബ്ല്യു കോർവെറ്റുകളുടെ രണ്ടാമത്തെ കപ്പലായ ടിസിജി ബ്യുകോദ ബുധനാഴ്ച വരെ കറാച്ചിയിൽ തുടരുമെന്നാണ് വിവരം. അങ്കാറയിൽനിന്ന് തുർക്കി വ്യോമസേനയുടെ സി-130 വിമാനം കറാച്ചിയിൽ വന്നിറങ്ങിയതിന് ദിവസങ്ങൾക്കുള്ളിലാണ് യുദ്ധക്കപ്പലും തീരമണിഞ്ഞത്.,2025-05-05
അടിവയറ്റിലെ കൊഴുപ്പു നീക്കാൻ ശസ്ത്രക്രിയ; വനിതാ സോഫ്റ്റ്‌വെയർ എൻജിനീയർ ഗുരുതരാവസ്ഥയിൽ,https://www.manoramaonline.com/district-news/thiruvananthapuram/2025/05/05/software-engineer-critical-after-surgery.html,2025-05-05,,2025-05-05
"നീറ്റ് പരീക്ഷയുടെ ഹാൾ ടിക്കറ്റിൽ പേര് തെറ്റ്, അവസാനം അമ്മയെത്തി പ്രശ്നം ‘നീറ്റായി’ പരിഹരിച്ചു",https://www.manoramaonline.com/district-news/idukki/2025/05/05/neet-exam-hall-ticket-mistake-solved.html,2025-05-05,,2025-05-05
‘നിങ്ങൾ ആഗ്രഹിക്കുന്നത് തീർച്ചയായും സംഭവിക്കും; മോദിയുടെ പ്രവർത്തനശൈലി ജനങ്ങൾക്ക് നന്നായി അറിയാം’,https://www.manoramaonline.com/news/latest-news/2025/05/05/india-pakistan-conflict-retaliation-rajnath-singh-warning.html,2025-05-05,"ഇന്ത്യയെ ആക്രമിക്കാൻ ശ്രമിക്കുന്നവർക്ക് ഉചിതമായ മറുപടി നൽകേണ്ടത് തന്റെ തന്റെ ഉത്തരവാദിത്തമാണെന്ന് പ്രതിരോധ മന്ത്രി രാജ്‌നാഥ് സിങ്. പ്രധാനമന്ത്രി നരേന്ദ്ര മോദിയെ ജനങ്ങൾക്ക് നന്നായി അറിയാമെന്നും അദ്ദേഹത്തിന്റെ പ്രവർത്തന ശൈലി, ദൃഢനിശ്ചയം, ജീവിതത്തിൽ വെല്ലുവിളി ഏറ്റെടുക്കാൻ അദ്ദേഹം പഠിച്ച രീതി എന്നിവയെക്കുറിച്ച് അവർക്ക് അറിയാമെന്നും കേന്ദ്രമന്ത്രി പറഞ്ഞു. പ്രധാനമന്ത്രി മോദിയുടെ നേതൃത്വത്തിൽ, നിങ്ങൾ ആഗ്രഹിക്കുന്നത് തീർച്ചയായും സംഭവിക്കുമെന്ന് ഞാൻ നിങ്ങൾക്ക് ഉറപ്പ് നൽകുന്നതായും പ്രതിരോധമന്ത്രി പറഞ്ഞു. ഏപ്രിൽ 22ന് പഹൽഗാമിൽ നടന്ന ഭീകരാക്രമണത്തിൽ 26 പേർ കൊല്ലപ്പെട്ടതിൽ പാക്കിസ്ഥാനു തിരിച്ചടി നൽകാൻ ഇന്ത്യ ആലോചിക്കുന്നതിനിടെയാണ് അദ്ദേഹത്തിന്റെ പ്രസ്താവന.",2025-05-05
"പെങ്ങൾക്ക് കൂട്ടായി വന്നു, നാടിന്റെ പ്രിയപ്പെട്ടവനായി; ദുരന്തത്തിലേക്ക് വഴിമാറി സൗഹൃദയാത്ര: കണ്ണീർക്കടലായി നെല്ലിമൂട് ഗ്രാമം",https://www.manoramaonline.com/district-news/thiruvananthapuram/2025/05/05/nellimoodu-velankanni-pilgrimage-accident.html,2025-05-05,,2025-05-05
വേളാങ്കണ്ണിയിലേക്ക് പോയ വാഹനം തിരുവാരൂരിൽ അപകടത്തിൽപ്പെട്ടു; നാല് മലയാളികൾക്ക് ദാരുണാന്ത്യം,https://www.manoramaonline.com/news/latest-news/2025/05/04/malayalis-died-in-thiruvarur-bus-accident.html,2025-05-04,"ചെന്നൈ ∙ തിരുവാരൂരിൽ വാനും ബസും കൂട്ടിയിടിച്ച് മലയാളികളായ നാലു പേർ മരിച്ചു. വാനിൽ യാത്ര ചെയ്തിരുന്ന തിരുവനന്തപുരം സ്വദേശികളായ രജിനാഥ്, രാജേഷ്, സജിത്ത്, രാഹുൽ എന്നിവരാണ് മരിച്ചത്. കാഞ്ഞിരംകുളം സ്വദേശി റജീനാഥ്, തിരുവനന്തപുരം നെല്ലിമൂട് സ്വദേശികളായ സാബു, സുനിൽ എന്നിവരെ സാരമായ പരുക്കുകളോടെ സമീപത്തെ സർക്കാർ ആശുപത്രിയിൽ പ്രവേശിപ്പിച്ചു.",2025-05-04
"തീപിടിത്തത്തിനു പിന്നിൽ ബാറ്ററിയിലെ ഇന്റേണൽ ഷോർട്ടേജ്, കത്തിനശിച്ചത് 34 എണ്ണം: പ്രാഥമിക റിപ്പോർട്ട്",https://www.manoramaonline.com/news/latest-news/2025/05/04/kozhikode-medical-college-fire-caused-by-battery-short-circuit.html,2025-05-04,കോഴിക്കോട്∙ കോഴിക്കോട് മെഡിക്കൽ കോളജിന്റെ അത്യാഹിത വിഭാഗത്തിൽ പുക പട‍ർന്നത് ബാറ്ററിയിലെ ഇന്റേർണൽ ഷോർട്ടേജ് മൂലം സിപിയു യൂണിറ്റിൽ തീപിടിച്ചതുകൊണ്ടാണെന്ന് പ്രാഥമിക അന്വേഷണ റിപ്പോർട്ട്. ബാറ്ററി സൂക്ഷിച്ച മുറിയിൽനിന്നാണു കെട്ടിടത്തിൽ പുക നിറഞ്ഞത്. യൂണിറ്റിലെ ഒരു ബാറ്ററി ചൂടായി വീർത്തതാണ് ഷോർട്ടേജിനു കാരണം. ഇതു പൊട്ടിത്തെറിക്കുകയും തീ മറ്റു ബാറ്ററികളിലേക്ക് പടർന്ന് അവയും പൊട്ടിത്തെറിക്കുകയായിരുന്നു. ഇത്തരത്തിൽ 34 ലെഡ് ആസിഡ് ബാറ്ററികളാണ് കത്തിനശിച്ചത്.,2025-05-04
ആയുധ നിര്‍മാണശാലകളിലെ ജീവനക്കാരുടെ ദീർഘകാല അവധികൾ റദ്ദാക്കി; 2 മാസത്തേക്ക് നിയന്ത്രണം,https://www.manoramaonline.com/news/latest-news/2025/05/04/india-ordnance-factories-boost-production-cancel-long-term-leave.html,2025-05-04,ന്യൂഡൽഹി ∙ മ്യൂണിഷൻസ് ഇന്ത്യ ലിമിറ്റഡിനു (എംഐഎൽ) കീഴിലെ പന്ത്രണ്ട് ആയുധ നിര്‍മാണശാലകളിലെ ജീവനക്കാരുടെ ദീർഘകാല അവധികൾ റദ്ദാക്കി. ഉദ്യോഗസ്ഥരുടെ രണ്ടു ദിവസത്തിലധികം വരുന്ന അവധിയാണ് റദ്ദാക്കിയത്. ദീർഘകാല അവധികൾ അനുവദിക്കില്ല. രണ്ടു മാസത്തേക്കാണ് ഈ നിയന്ത്രണമെന്നാണ് വിവരം.,2025-05-04
"പൂരം തടസപ്പെട്ടപ്പോൾ പലതവണ ഫോണിൽ വിളിച്ചിട്ടും കിട്ടിയില്ല, മോശം ഇടപെടലുണ്ടായി: അജിത് കുമാറിനെതിരെ മന്ത്രി രാജന്റെ മൊഴി",https://www.manoramaonline.com/news/latest-news/2025/05/04/thrissur-pooram-controversy-minister-rajan-statement-against-adgp-ajith-kumar.html,2025-05-04,തൃശൂർ ∙ തൃശൂർ പൂരം കലക്കലില്‍ എഡിജിപി എം.ആര്‍. അജിത് കുമാറിനെതിരെ മന്ത്രി കെ. രാജന്റെ മൊഴി. പൂരം തടസപ്പെട്ട സമയത്ത് പല തവണ ഫോണില്‍ വിളിച്ചിട്ടും എം.ആര്‍. അജിത് കുമാറിനെ കിട്ടിയില്ല. പ്രശ്‌ന സാധ്യതയെന്ന് മുന്നറിയിപ്പ് നല്‍കിയിട്ടും ഇടപെട്ടില്ല. പൂര ദിവസം രാവിലെ മുതൽ അജിത്കുമാർ തൃശൂരിലുണ്ടായിരുന്നു. പൊലീസിന്റെ ഭാഗത്തുനിന്നു മോശം ഇടപെടലുണ്ടായെന്നും മന്ത്രി മൊഴി നൽകി.,2025-05-04
തമിഴ്നാട്ടിൽ ഡിഎംകെയ്ക്കെതിരെ ‘മെഗാ സഖ്യം’; എടപ്പാടി പളനിസാമി മുഖ്യമന്ത്രി സ്ഥാനാർഥി,https://www.manoramaonline.com/news/latest-news/2025/05/04/edappadi-palanisamy-aiadmk-bjp-alliance-cm-candidate.html,2025-05-04,"ചെന്നൈ ∙ നിയമസഭാ തിരഞ്ഞെടുപ്പിൽ ബിജെപിയുമായി സഖ്യം അംഗീകരിച്ച അണ്ണാഡിഎംകെ നിർവാഹക സമിതി, പാർട്ടി ജനറൽ സെക്രട്ടറി എടപ്പാടി പളനിസാമിയെ മുഖ്യമന്ത്രി സ്ഥാനാർഥിയായി തീരുമാനിച്ചു.",2025-05-04
‘ഷോർട്ട് സർക്യൂട്ട് അല്ലെങ്കിൽ ബാറ്ററി തകരാർ കൊണ്ട് പൊട്ടിത്തെറിയെന്ന് പ്രാഥമിക റിപ്പോർട്ട്; യുപിഎസ് മെഷീന് 2026 വരെ വാറന്റി’,https://www.manoramaonline.com/news/latest-news/2025/05/03/health-minister-veena-george-about-fire-at-kozhikode-medical-college.html,2025-05-03,കോഴിക്കോട്∙ കോഴിക്കോട് മെഡിക്കൽ കോളജിൽ തീപിടിത്തമുണ്ടായതുമായി ബന്ധപ്പെട്ട് പിഡബ്ല്യുഡി ഇലക്ട്രിക്കൽ വിഭാഗം പ്രാഥമിക റിപ്പോർട്ട് സമർപ്പിച്ചതായി ആരോഗ്യമന്ത്രി വീണാ ജോർജ്. ഷോർട്ട് സർക്യൂട്ടോ അല്ലെങ്കിൽ ബാറ്ററിയുടെ തകരാർ കൊണ്ടായിരിക്കാം പൊട്ടിത്തെറി ഉണ്ടായതെന്നാണ് റിപ്പോർട്ടിൽ പറയുന്നതെന്ന് മന്ത്രി പറഞ്ഞു. എംആർഐ മെഷീന്റെ യുപിഎസ് മുറിയിലാണ് പൊട്ടിത്തെറിയുണ്ടായത്. മെഡിക്കൽ കോളജിൽ നടന്ന ഉന്നതതല യോഗത്തിനു ശേഷം മാധ്യമങ്ങളോട് സംസാരിക്കുകയായിരുന്നു മന്ത്രി.,2025-05-03
"‘പാക്കിസ്ഥാനുള്ള സഹായങ്ങൾ റദ്ദാക്കണം, വായ്പ നൽകുന്നത് പുനഃപരിശോധിക്കണം’: രാജ്യാന്തര വേദികളിൽ ഇന്ത്യ",https://www.manoramaonline.com/news/latest-news/2025/05/03/pahalgam-attack-india-to-ask-global-agencies-to-review-loans-grants-to-pakistan-sources.html,2025-05-03,"ന്യൂഡൽഹി∙ രാജ്യാന്തര വേദികളിൽ പാക്കിസ്ഥാനെ ഒറ്റപ്പെടുത്തി സമ്മർദം ശക്തമാക്കാൻ ഇന്ത്യയുടെ ശ്രമം. ഭീകരവാദത്തെ പിന്തുണയ്ക്കുന്ന പാക്കിസ്ഥാന്റെ ചെയ്തികൾ രാജ്യാന്തര വേദികളുടെ ശ്രദ്ധയിൽപ്പെടുത്തി അവിടെനിന്ന് പാക്കിസ്ഥാന് ലഭിക്കുന്ന സഹായങ്ങൾ റദ്ദാക്കാനുള്ള നടപടികൾ ഇന്ത്യ ആരംഭിച്ചു. രാജ്യാന്തര നാണയ നിധി (ഐഎംഎഫ്), കള്ളപ്പണം വെളുപ്പിക്കൽ തടയുന്നത് ലക്ഷ്യമിട്ട് പ്രവർത്തിക്കുന്ന ഫിനാൻഷ്യൽ ആക്ഷൻ ടാസ്ക് ഫോഴ്സ് (എഫ്എടിഎഫ്), യുഎൻ എന്നീ വേദികളിൽ പാക്കിസ്ഥാനെതിരെ നീക്കം ശക്തമാക്കാനാണ് തീരുമാനം.",2025-05-03
"‘ഞാൻ നേരത്തേ വന്നതിൽ മരുമകന് സങ്കടം, ഇനി ധാരാളം സങ്കടപ്പെടേണ്ടി വരും; ഡോക്ടറെ പോയി കാണുന്നതാണ് നല്ലത്’",https://www.manoramaonline.com/news/latest-news/2025/05/03/vizhinjam-port-inauguration-controversy-rajeev-chandrasekhar-comment.html,2025-05-03,ആലപ്പുഴ∙ വിഴിഞ്ഞം തുറമുഖ ഉദ്ഘാടനത്തിന് താൻ നേരത്തേ എത്തിയതിൽ ഒരു രാജവംശത്തിലെ മരുമകന് സങ്കടമെന്ന് ബിജെപി സംസ്ഥാന അധ്യക്ഷൻ രാജീവ് ചന്ദ്രശേഖർ. ‘‘ഞാൻ നേരത്തേ വന്നതിലാണ് സങ്കടം. എന്തുകൊണ്ട് നേരത്തെ വന്നു? പ്രവർത്തകർ നേരത്തേ വന്നതുകൊണ്ട് സംസ്ഥാന പ്രസിഡന്റായ ഞാനും അവർക്കൊപ്പം വരണമെന്ന് കരുതിയാണ് നേരത്തെ എത്തിയത്. 8.45ന് അവിടെ എത്തി. എല്ലാവരും വിഐപി ലോഞ്ചിലേക്കു പോയപ്പോൾ എന്റെ പ്രവർത്തകരെ കാണണമെന്നു പറഞ്ഞാണ് ഞാൻ നേരത്തേ വേദിയിൽ കയറിയത്’’ – രാജീവ് ചന്ദ്രശേഖർ പറഞ്ഞു.,2025-05-03
"കാജൽ, നേഹ, സ്വീറ്റി...; മാട്രിമോണിയിൽ പരസ്യം, 21 വയസ്സിനിടെ വിവാഹം കഴിച്ചത് 12 പേരെ: ‘ഡാകു ദുൽഹൻ’ പിടിയിൽ",https://www.manoramaonline.com/news/latest-news/2025/05/03/marriage-fraud-woman-duped-12-grooms-arrested-in-up.html,2025-05-03,"ലക്നൗ∙ ഗുജറാത്തിൽ കാജൽ, ഹരിയാനയിൽ സീമ, ബിഹാറിൽ നേഹ, ഉത്തർ പ്രദേശിൽ സ്വീറ്റി...മാട്രിമോണിയൽ സൈറ്റുകളിലൂടെ 21 വയസ്സിനിടെ 12 പേരെ വിവാഹം കഴിച്ച് പണം തട്ടിയ യുവതി പിടിയിൽ. ലക്നൗ സ്വദേശിയായ ഗുൽഷാന റിയാസ് ഖാനാണ് അറസ്റ്റിലായത്. വിവാഹം ശരിയാകാത്ത പുരുഷന്മാരെയാണ് ഇവർ നോട്ടമിട്ടിരുന്നത്. ഇവരുടെ തട്ടിപ്പു സംഘത്തിലുണ്ടായിരുന്ന 8 പേരെയും ലക്നൗ അംബേദ്കർ നഗർ പൊലീസ് അറസ്റ്റ് ചെയ്തു.",2025-05-03
പാക്കിസ്ഥാനിൽനിന്നുള്ള ഇറക്കുമതിക്ക് വിലക്ക്; കടുത്ത നീക്കവുമായി ഇന്ത്യ; രാജ്യ സുരക്ഷയ്‌ക്കു വേണ്ടിയെന്ന് കേന്ദ്രം,https://www.manoramaonline.com/news/latest-news/2025/05/03/india-bans-pakistan-imported-commodities.html,2025-05-03,ന്യൂഡൽഹി∙ പാക്കിസ്ഥാനിൽ നിന്നുള്ള എല്ലാത്തരം ഇറക്കുമതിക്കും വിലക്കേർപ്പെടുത്തി ഇന്ത്യ. പഹൽഗാം ഭീകരാക്രമണത്തിനു പിന്നാലെ പാക്കിസ്ഥാന് തിരിച്ചടി നൽകാൻ ഇന്ത്യ തയാറെടുക്കുന്നെന്ന റിപ്പോർട്ടുകൾക്കിടെയാണ് കടുത്ത നീക്കം. പാക്കിസ്ഥാനിൽനിന്നുള്ള വസ്തുക്കൾ നേരിട്ടോ അല്ലാതെയോ ഇറക്കുമതി ചെയ്യുന്നത് നിരോധിച്ചതായി വാണിജ്യ മന്ത്രാലയം അറിയിച്ചു. ദേശീയ സുരക്ഷയെക്കരുതിയാണ് തീരുമാനമെന്നും മന്ത്രാലയത്തിന്റെ വിജ്ഞാപനത്തിൽ പറയുന്നു.,2025-05-03
"Vizhinjam Commissioningപ്രധാനമന്ത്രിയുടേത് 45 മിനിറ്റ് പ്രസംഗം, മുഖ്യമന്ത്രിക്ക് 5 മിനിറ്റ്; ശശി തരൂരിനും വിൻസെന്റിനും അവസരമില്ല",https://www.manoramaonline.com/news/latest-news/2025/05/02/vizhinjam-port-inauguration-opposition-leaders-denied-speaking-opportunity.html,2025-05-02,വിഴിഞ്ഞം തുറമുഖത്തിന്റെ കമ്മിഷനങ്ങിനു ശേഷം നടക്കുന്ന പൊതുസമ്മേളനത്തിൽ പ്രസംഗിക്കാൻ പ്രതിപക്ഷ പ്രതിനിധികൾക്ക് അവസരമില്ല. പ്രധാനമന്ത്രിക്കും മുഖ്യമന്ത്രിക്കും മന്ത്രി വി.എൻ. വാസവനും മാത്രമാകും പ്രസംഗിക്കാൻ അവസരം നൽകുക. പ്രധാനമന്ത്രി 45 മിനിറ്റ് സംസാരിക്കും.,2025-05-02
"‘ഒരു വർഷത്തേക്ക് പാക്കിസ്ഥാൻ വ്യോമപാത അടച്ചാൽ നഷ്ടം 5,068 കോടി; സാമ്പത്തിക സഹായം വേണം’: എയർ ഇന്ത്യ",https://www.manoramaonline.com/news/latest-news/2025/05/02/air-india-pleads-for-financial-assistance-after-pakistan-airspace-shutdown.html,2025-05-02,"പാക്കിസ്ഥാൻ വ്യോമപാത അടച്ചിട്ടാൽ കനത്ത നഷ്ടമുണ്ടാകുമെന്ന് എയർഇന്ത്യ. ഒരു വർഷത്തേക്ക് വ്യോമപാത അടച്ചിട്ടാൽ ഏതാണ്ട് 5,068 കോടി രൂപ(600 മില്യൻ ഡോളർ) രൂപയുടെ നഷ്ടം എയർ ഇന്ത്യയ്ക്ക് ഉണ്ടാകുമെന്നാണ് അധികൃതർ അറിയിച്ചത്. ഇതു നേരിടാൻ സാമ്പത്തിക സഹായം ആവശ്യമാണെന്നും എയർ ഇന്ത്യ വൃത്തങ്ങളെ ഉദ്ധരിച്ച് വാർത്ത ഏജൻസിയായ പിടിഐ റിപ്പോർട്ട് ചെയ്തു.",2025-05-02
പണം വാങ്ങി പാക്കിസ്ഥാനു വേണ്ടി ചാരപ്രവൃത്തി; രാജസ്ഥാൻ സ്വദേശി ഇന്റലിജൻസ് പിടിയിൽ,https://www.manoramaonline.com/news/latest-news/2025/05/02/rajasthan-man-arrested-for-spying-for-pakistans-isi.html,2025-05-02,ജയ്പൂർ∙ പാക്കിസ്ഥാനു വേണ്ടി ചാരപ്രവൃത്തി നടത്തിയ രാജസ്ഥാൻ സ്വദേശി അറസ്റ്റിൽ. ജയ്സൽമേർ സ്വദേശി പത്താൻ ഖാനാണു ഇന്റലിജൻസിന്റെ പിടിയിലായത്. 2013 മുതൽ ഇയാൾ അതിർത്തിയിലെ വിവരങ്ങൾ ഐഎസ്ഐയ്ക്ക് (പാക്കിസ്ഥാൻ ഇന്റർ സർവീസസ് ഇന്റലിജൻസ്) കൈമാറി വരികയായിരുന്നു. പത്താൻ ഖാൻ 2013 ൽ പാക്കിസ്ഥാൻ സന്ദർശിച്ച് ഇന്റലിജൻസ്,2025-05-02
