title,url,date,section,datetime
Two Youth Dies In Accident At Thiruvananthapuram 1.10562960,https://www.mathrubhumi.com/news/kerala/two-youth-dies-in-accident-at-thiruvananthapuram-1.10562960,2025-05-05,kerala,2025-05-05
Listin Stephen Reacts On Controversies Nivin Pauli Sandra Thomas 1.10562952,https://www.mathrubhumi.com/movies-music/news/listin-stephen-reacts-on-controversies-nivin-pauli-sandra-thomas-1.10562952,2025-05-05,news,2025-05-05
Man Arrested For Stabbing A Guest At A Wedding In Calicut Kerala 1.10562914,https://www.mathrubhumi.com/crime/news/man-arrested-for-stabbing-a-guest-at-a-wedding-in-calicut-kerala-1.10562914,2025-05-05,news,2025-05-05
Defence Secretary Is Meeting Pm Sources 1.10562955,https://www.mathrubhumi.com/news/india/defence-secretary-is-meeting-pm-sources-1.10562955,2025-05-05,india,2025-05-05
Jiostar Opposes Unified Tv Ott Regulation 1.10562957,https://www.mathrubhumi.com/technology/news/jiostar-opposes-unified-tv-ott-regulation-1.10562957,2025-05-05,news,2025-05-05
Anju Kurian Actor Making Mango Thera Candy Home Recipe 1.10560710,https://www.mathrubhumi.com/food/news/anju-kurian-actor-making-mango-thera-candy-home-recipe-1.10560710,2025-05-04,news,2025-05-04
Muralidharan Attacks Pinarayi Vijayans Udfs Projects 1.10560708,https://www.mathrubhumi.com/news/kerala/muralidharan-attacks-pinarayi-vijayans-udfs-projects-1.10560708,2025-05-04,kerala,2025-05-04
Ukraine Destroyed Russian Jet Seaborne Drone 1.10560707,https://www.mathrubhumi.com/news/world/ukraine-destroyed-russian-jet-seaborne-drone-1.10560707,2025-05-04,world,2025-05-04
Colon Cancer Prevention Nuts Seeds 1.10560673,https://www.mathrubhumi.com/health/news/colon-cancer-prevention-nuts-seeds-1.10560673,2025-05-04,news,2025-05-04
Neet Fake Hall Ticket Case Pathanamthitta 1.10560704,https://www.mathrubhumi.com/careers/news/neet-fake-hall-ticket-case-pathanamthitta-1.10560704,2025-05-04,news,2025-05-04
Australian Election Labour Party Win Anthony Albanese 1.10558612,https://www.mathrubhumi.com/news/world/australian-election-labour-party-win-anthony-albanese-1.10558612,2025-05-03,world,2025-05-03
Woman Gang Raped By Three Kannur Thalassery 1.10558599,https://www.mathrubhumi.com/crime/news/woman-gang-raped-by-three-kannur-thalassery-1.10558599,2025-05-03,news,2025-05-03
Fake Wedding Party Becoming Trend Know Details 1.10558304,https://www.mathrubhumi.com/lifestyle/news/fake-wedding-party-becoming-trend-know-details-1.10558304,2025-05-03,news,2025-05-03
Murukan Kattakada Innagurates Gramodhaya 1.10558445,https://www.mathrubhumi.com/thiruvananthapuram/news/murukan-kattakada-innagurates-gramodhaya-1.10558445,2025-05-03,news,2025-05-03
Neighbor Stabbed Three People In Kozhikode 1.10558496,https://www.mathrubhumi.com/crime/news/neighbor-stabbed-three-people-in-kozhikode-1.10558496,2025-05-03,news,2025-05-03
Linto Joseph Thiruvambadi Mla Inagurates Childrens Summer Vacation Shop 1.10555647,https://www.mathrubhumi.com/lifestyle/news/linto-joseph-thiruvambadi-mla-inagurates-childrens-summer-vacation-shop-1.10555647,2025-05-02,news,2025-05-02
Amur Falcon Completes Non Stop 3 800 Km Long Flight In 93 Hours 1.10555479,https://www.mathrubhumi.com/environment/news/amur-falcon-completes-non-stop-3-800-km-long-flight-in-93-hours-1.10555479,2025-05-02,news,2025-05-02
Youth Died Of Lightning Strike At Varkala 1.10555563,https://www.mathrubhumi.com/news/kerala/youth-died-of-lightning-strike-at-varkala-1.10555563,2025-05-02,kerala,2025-05-02
Kozhikode Medical College Fire Scare 1.10555738,https://www.mathrubhumi.com/news/kerala/kozhikode-medical-college-fire-scare-1.10555738,2025-05-02,kerala,2025-05-02
Dubai International Airport Welcomes 23 4 Million Passengers In Q1 2024 1.10555740,https://www.mathrubhumi.com/travel/news/dubai-international-airport-welcomes-23-4-million-passengers-in-q1-2024-1.10555740,2025-05-02,news,2025-05-02
Suhas Shetty Hacked Death Political Murder 1.10554679,https://www.mathrubhumi.com/crime/news/suhas-shetty-hacked-death-political-murder-1.10554679,2025-05-01,news,2025-05-01
Woman Shares How Chatgpt Saved Her Life When She Was Pregnant Goes Viral 1.10554677,https://www.mathrubhumi.com/lifestyle/news/woman-shares-how-chatgpt-saved-her-life-when-she-was-pregnant-goes-viral-1.10554677,2025-05-01,news,2025-05-01
Robert De Niro Daughter Came Out As Transgender Godfather Star Reacts 1.10554654,https://www.mathrubhumi.com/lifestyle/news/robert-de-niro-daughter-came-out-as-transgender-godfather-star-reacts-1.10554654,2025-05-01,news,2025-05-01
Man Arrested With Mdma Kozhikode City 1.10554657,https://www.mathrubhumi.com/crime/news/man-arrested-with-mdma-kozhikode-city-1.10554657,2025-05-01,news,2025-05-01
Three Year Old Dies In Kannur Road Accident 1.10554650,https://www.mathrubhumi.com/news/kerala/three-year-old-dies-in-kannur-road-accident-1.10554650,2025-05-01,kerala,2025-05-01
Alankode Leelakrishnan Padmaprabha Literary Award Response 1.10552441,https://www.mathrubhumi.com/literature/news/alankode-leelakrishnan-padmaprabha-literary-award-response-1.10552441,2025-04-30,news,2025-04-30
Ib Officer Death Kerala Accused Sukanth Parents 1.10552446,https://www.mathrubhumi.com/crime/news/ib-officer-death-kerala-accused-sukanth-parents-1.10552446,2025-04-30,news,2025-04-30
Kozhikode Teen Assaulted Arrested 1.10552455,https://www.mathrubhumi.com/crime/news/kozhikode-teen-assaulted-arrested-1.10552455,2025-04-30,news,2025-04-30
Boost Nutrition Cooking Tips 1.10552259,https://www.mathrubhumi.com/food/news/boost-nutrition-cooking-tips-1.10552259,2025-04-30,news,2025-04-30
India Airspace Ban Pak Flights Pahalgam Attack 1.10552485,https://www.mathrubhumi.com/news/india/india-airspace-ban-pak-flights-pahalgam-attack-1.10552485,2025-04-30,india,2025-04-30
Sreenath Bhasi Azadi Movie Release On 9 May 1.10549679,https://www.mathrubhumi.com/movies-music/news/sreenath-bhasi-azadi-movie-release-on-9-may-1.10549679,2025-04-29,news,2025-04-29
Perplexity Ai Whatsapp Chatbot 1.10549452,https://www.mathrubhumi.com/technology/news/perplexity-ai-whatsapp-chatbot-1.10549452,2025-04-29,news,2025-04-29
Man Shot Dead By Lover Father Uttar Pradesh 1.10549453,https://www.mathrubhumi.com/crime/news/man-shot-dead-by-lover-father-uttar-pradesh-1.10549453,2025-04-29,news,2025-04-29
Congress Deletes Gayab Post Targeting Pm Modi After Outrage 1.10549448,https://www.mathrubhumi.com/news/india/congress-deletes-gayab-post-targeting-pm-modi-after-outrage-1.10549448,2025-04-29,india,2025-04-29
Mouni Roy Terrifying Experience Stranger Attempting To Enter Her Hotel Room 1.10549442,https://www.mathrubhumi.com/movies-music/news/mouni-roy-terrifying-experience-stranger-attempting-to-enter-her-hotel-room-1.10549442,2025-04-29,news,2025-04-29
Ed Ends Commonwealth Games Ed Case 1.10546473,https://www.mathrubhumi.com/news/india/ed-ends-commonwealth-games-ed-case-1.10546473,2025-04-28,india,2025-04-28
