title,url,date,summary,MediaAgency,title_english,summary_english,tags
"'മമ്മൂട്ടിയും മോഹൻലാലും ഒന്നും തന്നില്ലേയെന്നാണ് ചോദിക്കുന്നത്, സുബി സിനിമകൾ മനഃപൂർവം ഒഴിവാക്കി'; വെളിപ്പെടുത്തി അമ്മ",https://keralakaumudi.com/news/news.php?id=1528547&u=life-of-late-actress-subi-suresh,05-05-2025,കോമഡി വേഷങ്ങളിലൂടെയും സ്റ്റേജ് ഷോകളിലൂടെയും മലയാളികളുടെ പ്രിയതാരമായി മാറിയ നടിയാണ് അന്തരിച്ച സുബി സുരേഷ്.,KerelaKaumudi,"Mammootty and Mohanlal say, 'revealing the film'","The late Sumuy Suresh, a favorite of the Malayalees through the comedy roles and stage shows.","{'pers': ['Sumuy Sure', 'Mammootty', 'Mohanlal'], 'miscs': ['Malayalee'], 'events': []}"
പേവിഷബാധയേറ്റ് മരിച്ച നിയ ഫൈസലിന്റെ മൃതദേഹം ഖബറടക്കി; മാതാവ് ക്വാറന്റീനിൽ,https://keralakaumudi.com/news/news.php?id=1528494&u=body-of-nia-faisal-who-died-of-rabies-buried-mother-in-quarantine,05-05-2025,കൊല്ലം: പേവിഷബാധയേറ്റ് മരിച്ച ഏഴ് വയസുകാരി നിയ ഫൈസലിന്റെ മൃതദേഹം ആലഞ്ചേരി മുസ്ലിം ജമാഅത്ത് പള്ളിയില്‍ ഖബറടക്കി.,KerelaKaumudi,Khabara Mother of Faisal's body of faisel dead,"The body of the seven-year-old Faisal, the body of the seven-year-old Faisal, the body of the seven-year-old Faisal Faisal, the body of the role of the Sri Lanker.","{'pers': ['Khab', 'Sri'], 'miscs': [], 'events': []}"
"ആദ്യം ആര് റൊട്ടി കഴിക്കുമെന്ന് ചോദ്യം, വാക്കുതർക്കം കലാശിച്ചത് കൊലപാതകത്തിൽ; രണ്ട് കുട്ടികൾക്ക് ദാരുണാന്ത്യം",https://keralakaumudi.com/news/news.php?id=1528490&u=two-boys-killed-in-a-fight-over-food-during-a-wedding-celebration,05-05-2025,ലക്‌നൗ: വിവാഹാഘോഷത്തിനിടെ ഭക്ഷണത്തെച്ചൊല്ലിയുണ്ടായ തർക്കത്തിൽ രണ്ട് ആൺകുട്ടികൾ കൊല്ലപ്പെട്ടു.,KerelaKaumudi,"The question will take bread first question, the tragic",The two boys were killed in the dispute with the food because of the master of food.,{'events': ['accident']}
ഭീകരരെ  സഹായിക്കുന്നവർക്കെതിരെ  ശക്തമായ  നടപടി; ജമ്മു കാശ്മീരിൽ 2800 പേർ കസ്റ്റഡിയിൽ,https://keralakaumudi.com/news/news.php?id=1528481&u=jammu-and-kashmir-police-strict-action-against-those-helping-terrorists,05-05-2025,ശ്രീനഗർ: പഹൽഗാമിൽ ഭീകരാക്രമണം നടത്തിയവരെ സഹായിക്കുന്നവർക്കെതിരെ ശക്തമായ നടപടി ഉണ്ടാകുമെന്ന് ജമ്മു കാശ്മീർ പൊലീസ്.,KerelaKaumudi,2800 persons in Jammu and Kashmir in Jammu and Kashmir,Jammu and Kashmir Police will have strong action against those who help the terrorist attack in Srinagar Pahalgam.,"{'locs': ['Jammu and Kashmir, 190017, India', 'Jammu and Kashmir, India'], 'orgs': ['Police'], 'events': ['terrorism']}"
ടൂറിസ്റ്റ് ബസിലും ഫോണിലും 'തുടരും'; 150 കടന്ന് വിജയകുതിപ്പ് നടത്തുന്ന ചിത്രത്തിന് ഭീഷണിയായി വ്യാജപതിപ്പ്,https://keralakaumudi.com/news/news.php?id=1528496&u=thudarum-movie-pirated-version-out,05-05-2025,കൊച്ചി:150 കോടി കളക്ഷൻ കടന്ന് തിയേറ്ററുകളിൽ നിറഞ്ഞോടുകയാണ് മോഹൻലാലിനെ നായകനാക്കി തരുൺ മൂർത്തി സംവിധാനം ചെയ്ത 'തുടരും' എന്ന ചിത്രം.,KerelaKaumudi,Fake false versions of '150' and the Picture of the Picture of the Victory of the Tourist bus and phone,Kochi's collection of currency crosses the Top of Theaters and plays Mohanlal's hero '.,"{'miscs': ['Picture of the Picture of the Victory of the Tourist'], 'orgs': ['Top of Theaters', 'Koch'], 'pers': ['Mohanlal'], 'events': []}"
തിളങ്ങുന്ന നീലക്കണ്ണുകളോടെ ജനിക്കുന്നത് ഭാഗ്യമാണോ?​ ഇവിടെയുളളവരുടേത് ദുരവസ്ഥ,https://keralakaumudi.com/news/news.php?id=1527944&u=this-indonesian-tribe-has-sparkling-blue-eyes-but-this-beauty-brings-problems,04-05-2025,ജക്കാർത്ത: സിനിമകളിൽ നീലക്കണ്ണുകൾ ഉളള നായകൻമാരെയും നായികമാരെയും കാണുമ്പോൾ ചിലർക്കെങ്കിലും അങ്ങനെയുളള കണ്ണുകൾ വേണമെന്ന് മോഹമുണ്ടാകാറുണ്ട്.,KerelaKaumudi,Is it lucky to be born with shining blue eyes?The case is the victim,Some people should have such eyes like such eyes when they see the heroes and heroines in the heroine films.,{'events': []}
"ഇനി കഷ്‌ടപ്പാടുകൾക്ക് വിട;  യുഎഇ ബിഗ് ടിക്കറ്റ് നറുക്കെടുപ്പിൽ വീണ്ടും മലയാളിക്ക് വിജയം, 57 കോടി രൂപ സ്വന്തം",https://keralakaumudi.com/news/news.php?id=1527935&u=uae-big-ticket-draw-kerala-expat-winner-of-grand-prize,04-05-2025,അബുദാബി: യുഎഇ ബിഗ് ടിക്കറ്റ് നറുക്കെടുപ്പിൽ വീണ്ടും ഭാഗ്യം കൊയ്ത് പ്രവാസി മലയാളി.,KerelaKaumudi,"No longer in the goodbye to suffer the good goodbyes, Malayalee wins",Abu Dhabi UAE Big Tickety Narchin ',"{'miscs': ['Na', 'Malayalee'], 'locs': ['Abu Dhabi, Abu Dhabi Emirate, United Arab Emirates', 'United Arab Emirates'], 'orgs': [], 'events': []}"
പോളിയോയും അർബുദവും തളർത്തിയില്ല; സാക്ഷരതയുടെ വെളിച്ചം പകർന്ന പദ്‌മശ്രീ കെ  വി  റാബിയ അന്തരിച്ചു,https://keralakaumudi.com/news/news.php?id=1527931&u=padma-shri-k-v-rabiya-passed-away,04-05-2025,അറിവിന്റെ അക്ഷരവെളിച്ചം പക‌ർന്ന  സാക്ഷരതാ പ്രവർത്തക പദ്‌മശ്രീ കെ വി റാബിയ (59) അന്തരിച്ചു.,KerelaKaumudi,Padma Shri KV Rabya passes away,Padma Shri KV Rabia 59 passes away 59 pulled on the font of knowledge.,"{'pers': ['KV Rabia', 'Padma', 'KV Raby'], 'orgs': ['Shri'], 'events': []}"
"'പലരും കറുമ്പിയെന്ന് വിളിച്ചു, സ്ത്രീധനം കിട്ടാതെ വന്നതോടെ ഭർത്താവ് പ്രശ്നമുണ്ടാക്കി; ഒരൊറ്റ കാരണം കൊണ്ട് ജീവിതം മാറിമറിഞ്ഞു'",https://keralakaumudi.com/news/news.php?id=1527934&u=actress-sethu-lakshmi-share-the-tragic-family-life,04-05-2025,നാടകത്തിലൂടെ സിനിമാരംഗത്തെത്തിയ സേതു ലക്ഷ്മിയുടെ കുടുംബജീവിതവും കഷ്ടപ്പാടുകൾ നിറഞ്ഞതായിരുന്നു.,KerelaKaumudi,"'Many called the blackbearing and came out of dowry, and the husband changed the problem with a single reason for a single reason.",Setu Lakshmi's family life was full of suffering through the play.,"{'pers': ['Setu Lakshmi'], 'events': []}"
ഫോട്ടോ  കണ്ടാൽ  കോൺഗ്രസുകാർക്ക്  പോലും  തിരിച്ചറിയാത്തവർ  വേണ്ട;  കെപിസിസി  നേതൃമാറ്റത്തിനെതിരെ  ആലുവയിൽ  വ്യാപക  പോസ്റ്റർ,https://keralakaumudi.com/news/news.php?id=1527933&u=poster-campaign-against-kpcc-president-change,04-05-2025,ആലുവ: കെപിസിസി നേതൃമാറ്റത്തിനെതിരെ ആലുവയിൽ വ്യാപക പോസ്റ്റർ പ്രചരണം. സേവ് കോൺഗ്രസ് എന്നും പോസ്റ്ററിൽ എഴുതിയിട്ടുണ്ട്.,KerelaKaumudi,In Aluva Expansion Poster in Aluva,In Aluva Wedding Poster Producer in Aluva against Aluva KPCC leadership.The Save Congress is also written in the poster.,"{'locs': ['Kerala, 683101, India', 'Rapla County, 79601, Estonia'], 'orgs': ['Post', 'Save Congress', 'KPCC'], 'events': ['politics']}"
